excellent	net	netDmg	damage_dealt	QLStats	sNet	sgNet	aNet	alias	games
4.18	-10.37	1586.67	10129.71	72.45	0.23	0.55	-0.15	Regenbogenkotze	11.0
1.0	-19.99	-1448.54	3326.93	-786.2	-1.16	-0.32	-0.16	NicholaisoN	1.0
5.5	4.0	3222.47	11360.35	152.37	0.01	0.73	-0.16	flipper	2.0
1.0	-31.99	-1256.6	6304.98	-612.46	-0.8	0.05	-0.16	exixt	1.0
4.0	-25.99	-373.88	7488.6	-442.69	-0.61	0.21	-0.16	ne_raketa	1.0
1.0	-16.99	569.82	8483.28	-215.44	-0.13	0.22	-0.16	RedSpark	1.0
2.28	-12.49	-70.19	7205.15	-298.23	-0.36	0.18	-0.16	ari	133.0
1.0	-26.99	-2855.08	4135.67	-780.61	-1.11	-0.21	-0.16	pr!x`	1.0
1.0	-20.99	-1846.41	2768.11	-835.72	-1.27	-0.22	-0.16	zacharius_zipfelmann	1.0
0.0	-25.99	209.93	7157.7	-505.94	-0.78	0.21	-0.16	gainon	1.0
2.49	-8.84	-125.38	6879.36	-294.86	-0.28	0.22	-0.16	KaShiS	47.0
